match_id,athlete1,p1_Leading_sets,p1_Unstoppable_balls,p1_Single_shot_error_rate,p1_Interception_score,p1_distance_run,p1_rally_count,p1_speed_mph,p1_serve,p1_Leading_games,athlete2,p2_Leading_sets,p2_Unstoppable_balls,p2_Single_shot_error_rate,p2_Interception_score,p2_distance_run,p2_rally_count,p2_speed_mph,p2_serve,p2_Leading_games,p1_momentum_score,p2_momentum_score
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.7,0,6,2,95,1,0,Nicolas Jarry,0,0,0,0,7.84,2,0,0,0,0.539867454,0.312752697
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.7,0,5.253,1,118,1,0,Nicolas Jarry,0,0,0,0,7.094,1,0,0,0,0.557713886,0.313830358
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.7,0,13.8,4,120,1,0,Nicolas Jarry,0,0,0,0,19.808,4,0,0,0,0.553682873,0.308019941
2023-wimbledon-1301,Carlos Alcaraz,0,1,0.7,0,51.108,13,130,1,0,Nicolas Jarry,0,0,0,0,75.631,13,0,0,0,0.614793307,0.291984246
2023-wimbledon-1301,Carlos Alcaraz,0,1,0.7,0,0.649,1,112,1,0,Nicolas Jarry,0,0,0,0,0.813,1,0,0,0,0.627541124,0.315557742
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.7,0,5.291,2,97,1,0,Nicolas Jarry,0,0,0,0,4.249,2,0,0,0,0.541600308,0.31371882
2023-wimbledon-1301,Carlos Alcaraz,0,1,0.7,0,6.817,1,109,1,0,Nicolas Jarry,0,0,0,0,17.821,1,0,0,0,0.623926371,0.310995607
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.7,0,17.503,6,105,1,0,Nicolas Jarry,0,1,0,1,18.067,6,0,0,0,0.539723411,0.468727341
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.7,1,34.489,7,128,1,0,Nicolas Jarry,0,0,0,0,24.594,7,0,0,0,0.649633313,0.30456414
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.7,0,21.235,5,110,1,0,Nicolas Jarry,0,0,0,0,27.427,5,0,0,0,0.542959829,0.305432374
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,5.785,1,0,0,1,Nicolas Jarry,0,1,0.875,0,4.915,1,112,1,-1,0.310304826,0.647581045
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,19.744,4,0,0,1,Nicolas Jarry,0,0,0.875,0,18.244,4,130,1,-1,0.304319443,0.583277069
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,26.013,4,0,0,1,Nicolas Jarry,0,0,0.875,0,18.626,4,120,1,-1,0.302888743,0.576720772
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,10.667,3,0,0,1,Nicolas Jarry,0,1,0.875,0,7.112,3,128,1,-1,0.307327128,0.654401833
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,3.399,1,0,0,1,Nicolas Jarry,0,0,0.875,0,2.237,1,130,1,-1,0.310932803,0.590565046
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,5.3,2,0,0,1,Nicolas Jarry,0,0,0.875,0,4.307,2,97,1,-1,0.309550246,0.567683842
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,5.245,1,0,0,1,Nicolas Jarry,0,0,0.875,0,5.499,1,124,1,-1,0.31044632,0.585829208
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,15.194,3,0,0,1,Nicolas Jarry,0,1,0.875,1,16.594,3,116,1,-1,0.306216161,0.727855871
2023-wimbledon-1301,Carlos Alcaraz,0,1,0.8,0,0.899,1,126,1,0,Nicolas Jarry,0,0,0,0,1.073,1,0,0,0,0.64514664,0.315485268
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.8,0,18.088,5,127,1,0,Nicolas Jarry,0,0,0,0,34.756,5,0,0,0,0.566896511,0.303788232
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.8,0,7.288,2,114,1,0,Nicolas Jarry,0,0,0,0,10.818,2,0,0,0,0.564018051,0.311963984
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.8,0,42.166,9,127,1,0,Nicolas Jarry,0,0,0,0,32.944,9,0,0,0,0.555195254,0.301323507
2023-wimbledon-1301,Carlos Alcaraz,0,0,0.8,0,3.782,1,103,1,0,Nicolas Jarry,0,0,0,0,4.479,1,0,0,0,0.558282979,0.314543568
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,12.601,3,0,0,1,Nicolas Jarry,0,0,0.75,0,13.713,3,107,1,-1,0.306849173,0.55760466
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,14.925,3,0,0,1,Nicolas Jarry,0,0,0.75,0,13.976,3,111,1,-1,0.306281413,0.560304518
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,0.903,1,0,0,1,Nicolas Jarry,0,1,0.75,0,1.067,1,125,1,-1,0.311597391,0.645228153
2023-wimbledon-1301,Carlos Alcaraz,0,0,0,0,20.027,3,0,0,1,Nicolas Jarry,0,1,0.75,0,7.402,3,126,1,-1,0.305060392,0.642978184
2023-wimbledon-1301,Carlos Alcaraz,0,1,0.625,0,15.352,5,116,1,0,Nicolas Jarry,0,0,0,0,29.366,5,0,0,0,0.61567555,0.304990027
